,Calories,Total_Fat,Total_Carbs,Protein,Saturated_Fat,Dietary_Fiber,Calcium,Total_Sugars,Iron,Cholesterol,Vitamin_D,Potassium,Sodium,Item_Type
spicy-crispy-chicken-sandwich,530.0,26.0,48.0,27.0,4.0,2.0,30.0,9.0,2.5,65.0,0.0,440.0,1320.0,NULL
big-mac,550.0,30.0,45.0,25.0,11.0,3.0,120.0,9.0,4.5,80.0,0.0,380.0,1010.0,NULL
chicken-mcnuggets-4-piece,170.0,10.0,10.0,9.0,1.5,0.0,6.0,0.0,0.5,25.0,0.0,140.0,330.0,NULL
small-french-fries,230.0,11.0,31.0,3.0,1.5,3.0,10.0,0.0,0.5,0.0,0.0,470.0,190.0,NULL
quarter-pounder-with-cheese,520.0,26.0,42.0,30.0,12.0,2.0,190.0,10.0,4.0,95.0,0.0,420.0,1140.0,NULL
iced-coffee-small,140.0,5.0,24.0,2.0,3.5,0.0,40.0,22.0,0.0,20.0,0.0,140.0,50.0,Drink
egg-mcmuffin,310.0,13.0,30.0,17.0,6.0,2.0,170.0,3.0,3.0,250.0,2.0,200.0,770.0,NULL
sausage-burrito,310.0,17.0,25.0,13.0,7.0,1.0,140.0,2.0,2.5,170.0,0.0,170.0,800.0,NULL
strawberry-watermelon-slushie-small,190.0,0.0,50.0,0.0,0.0,0.0,6.0,49.0,0.0,0.0,0.0,15.0,25.0,Drink
tropical-mango-slushie-small,170.0,0.0,47.0,0.0,0.0,0.0,6.0,46.0,0.0,0.0,0.0,10.0,20.0,Drink
coca-cola-small,150.0,0.0,39.0,0.0,0.0,0.0,2.0,39.0,0.0,0.0,0.0,10.0,40.0,Drink
sprite-small,140.0,0.0,35.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,65.0,Drink
dr-pepper-small,40.0,0.0,11.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,15.0,Drink
fanta-orange-small,150.0,0.0,39.0,0.0,0.0,0.0,2.0,38.0,0.0,0.0,0.0,20.0,40.0,Drink
diet-coke-small,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,Drink
hi-c-orange-lavaburst-small,160.0,0.0,40.0,40.0,0.0,0.0,2.0,40.0,39.0,0.0,0.0,15.0,40.0,Drink
sweet-tea-small,100.0,0.0,26.0,0.0,0.0,0.0,15.0,24.0,0.0,0.0,0.0,35.0,15.0,Drink
iced-tea-small,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,45.0,10.0,Drink
dasani-water,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL
minute-maid-orange-juice-small,150.0,0.0,36.0,2.0,0.0,1.0,35.0,32.0,0.5,0.0,0.0,590.0,35.0,Drink
honest-kids-appley-ever-after-6-fl-oz-drink-box,35.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,75.0,15.0,NULL
1-low-fat-milk-jug,100.0,2.0,12.0,8.0,1.5,0.0,260.0,11.0,0.0,10.0,2.0,350.0,80.0,NULL
reduced-sugar-low-fat-chocolate-milk-jug,130.0,2.5,18.0,9.0,1.5,0.0,270.0,14.0,1.0,10.0,2.0,390.0,85.0,NULL
strawberry-banana-smoothie-small,190.0,0.5,44.0,2.0,0.0,2.0,70.0,39.0,0.5,5.0,0.0,250.0,40.0,Drink
mango-pineapple-smoothie-small,200.0,0.5,45.0,2.0,0.0,1.0,70.0,42.0,0.0,5.0,0.0,210.0,35.0,Drink
hot-chocolate-small,370.0,14.0,52.0,11.0,8.0,1.0,380.0,48.0,0.5,40.0,4.0,470.0,170.0,Drink
hot-tea-small,10.0,0.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,55.0,5.0,Drink
bacon-egg-cheese-biscuit,460.0,26.0,39.0,17.0,13.0,2.0,180.0,3.0,3.0,215.0,0.0,240.0,1330.0,NULL
sausage-mcmuffin,400.0,26.0,29.0,14.0,10.0,2.0,140.0,2.0,2.5,55.0,0.0,190.0,760.0,NULL
sausage-mcmuffin-with-egg,480.0,31.0,30.0,20.0,12.0,2.0,170.0,2.0,3.0,280.0,4.0,260.0,830.0,NULL
sausage-biscuit,460.0,30.0,37.0,11.0,13.0,2.0,70.0,2.0,2.5,35.0,0.0,200.0,1090.0,NULL
sausage-biscuit-with-egg,530.0,35.0,38.0,17.0,15.0,2.0,110.0,3.0,3.5,225.0,0.0,260.0,1190.0,NULL
bacon-egg-cheese-mcgriddles,430.0,21.0,44.0,17.0,9.0,2.0,190.0,15.0,3.0,215.0,0.0,220.0,1230.0,NULL
sausage-mcgriddles,430.0,24.0,41.0,11.0,9.0,2.0,80.0,14.0,2.5,35.0,0.0,180.0,990.0,NULL
sausage-egg-cheese-mcgriddles,550.0,33.0,44.0,19.0,13.0,2.0,190.0,15.0,3.0,235.0,0.0,270.0,1290.0,NULL
big-breakfast,760.0,48.0,57.0,26.0,18.0,3.0,140.0,3.0,4.5,485.0,2.0,560.0,1530.0,NULL
big-breakfast-with-hotcakes,1340.0,63.0,158.0,36.0,24.0,5.0,280.0,48.0,7.5,525.0,2.0,980.0,2070.0,NULL
hotcakes,580.0,15.0,101.0,9.0,6.0,2.0,130.0,45.0,3.0,40.0,0.0,430.0,530.0,NULL
hotcakes-and-sausage,770.0,33.0,102.0,15.0,12.0,2.0,140.0,46.0,3.0,75.0,0.0,520.0,810.0,NULL
hash-browns,140.0,8.0,18.0,2.0,1.0,2.0,8.0,0.0,0.5,0.0,0.0,240.0,310.0,NULL
fruit-maple-oatmeal,320.0,4.5,64.0,6.0,1.5,4.0,80.0,31.0,2.0,5.0,0.0,330.0,150.0,NULL
double-quarter-pounder-with-cheese,740.0,42.0,43.0,48.0,20.0,2.0,200.0,10.0,6.0,165.0,0.0,660.0,1360.0,NULL
deluxe-quarter-pounder-with-cheese,630.0,37.0,44.0,30.0,14.0,3.0,200.0,11.0,4.5,105.0,0.0,500.0,1210.0,NULL
mcdouble,400.0,20.0,33.0,22.0,9.0,2.0,100.0,7.0,3.5,70.0,0.0,330.0,920.0,NULL
bacon-quarter-pounder-with-cheese,630.0,35.0,43.0,36.0,15.0,3.0,190.0,10.0,4.5,115.0,0.0,490.0,1470.0,NULL
cheeseburger,300.0,13.0,32.0,15.0,6.0,2.0,100.0,7.0,3.0,40.0,0.0,220.0,720.0,NULL
double-cheeseburger,450.0,24.0,34.0,25.0,11.0,2.0,180.0,7.0,3.5,85.0,0.0,350.0,1120.0,NULL
hamburger,250.0,9.0,31.0,12.0,3.5,1.0,20.0,6.0,3.0,30.0,0.0,200.0,510.0,NULL
spicy-deluxe-crispy-chicken-sandwich,530.0,26.0,49.0,27.0,4.0,2.0,30.0,10.0,2.5,65.0,0.0,510.0,1200.0,NULL
crispy-chicken-sandwich,470.0,20.0,46.0,26.0,5.0,1.0,30.0,9.0,2.0,70.0,0.0,420.0,1140.0,NULL
deluxe-crispy-chicken-sandwich,530.0,26.0,48.0,27.0,4.0,2.0,30.0,10.0,2.5,65.0,0.0,490.0,1050.0,NULL
mcchicken,400.0,21.0,39.0,14.0,3.5,1.0,20.0,5.0,2.5,40.0,0.0,320.0,560.0,NULL
filet-o-fish,390.0,19.0,39.0,16.0,4.0,2.0,60.0,5.0,2.0,40.0,0.0,300.0,580.0,NULL
